family,plateau_torque_nm,plateau_end_rad_s,plateau_end_rpm,measured_speed_max_rad_s,measured_speed_max_rpm,zero_torque_rad_s,zero_torque_rpm
PFP110,305.0,9.42477796076938,90.0,15.707963267948966,150.0,16.755160819145562,160.0
PFP93,220.0,10.471975511965976,100.0,16.755160819145562,160.0,17.80235837034216,170.0
PFP78,60.0,16.755160819145562,160.0,18.84955592153876,180.0,23.03834612632515,220.0
PFP59,34.8,13.613568165555769,130.0,16.755160819145562,160.0,16.755160819145562,160.0
PFP41,6.0,20.94395102393195,200.0,20.94395102393195,200.0,26.17993877991494,250.0
