t,x,y,z
0.000000000,1.424508901,-0.726855012,0.186758038
0.033536673,1.540278934,-0.744028776,0.117215177
0.056629181,1.616515089,-0.755423920,0.065007480
0.078927755,1.691869124,-0.767160199,0.008209415
0.112662554,1.797779099,-0.783827206,-0.007139777
0.145770073,1.892270749,-0.799155028,0.067031882
0.178907871,1.985514210,-0.814763449,0.128572656
0.212570667,2.078539811,-0.831344040,0.179167208
0.234961510,2.139602154,-0.841983457,0.205966474
0.257003069,2.200744844,-0.852514581,0.227503938
0.290119886,2.290933701,-0.868021507,0.251389418
0.323857307,2.381274540,-0.885421544,0.261744760
0.355329990,2.470540591,-0.902346280,0.261770036
0.377620935,2.529121721,-0.912793652,0.256135413
0.411495686,2.586197836,-0.922570576,0.256349894
0.444829464,2.488702145,-0.888250666,0.343768336
0.478913307,2.392228960,-0.855277161,0.419426195
0.510637283,2.297293567,-0.823640186,0.482425452
0.533344269,2.234659092,-0.801883004,0.519061667
0.567123175,2.141969304,-0.769317736,0.564908228
0.600629091,2.051786204,-0.736732258,0.599040197
0.623730421,1.991377674,-0.715720917,0.616299251
0.657000303,1.902247374,-0.683805693,0.632901935
0.679088831,1.843309038,-0.662327419,0.638753473
0.712531805,1.756119159,-0.631102883,0.637030639
0.745613337,1.670180208,-0.598944513,0.625664138
0.779101133,1.584626500,-0.567469135,0.604450478
0.812430859,1.500304730,-0.536354306,0.571689921
0.835776091,1.444568969,-0.515157517,0.544216625
0.867706537,1.361444572,-0.483664876,0.495004241
0.901028156,1.279724456,-0.452382577,0.435000883
0.934722900,1.198474913,-0.421072351,0.364772030
0.967903852,1.118321854,-0.389911895,0.285910737
1.013033867,1.012697433,-0.348236039,0.164831725
1.034894705,0.960792712,-0.326708193,0.097824359
1.067792654,0.882554988,-0.296033580,-0.010229769
1.101186514,0.815129574,-0.266315967,0.010984143
1.135209799,0.754045391,-0.239486632,0.096915076
1.157543421,0.714564480,-0.222381912,0.147922551
1.190363407,0.654265472,-0.195831819,0.215305303
1.224147081,0.595166201,-0.168038004,0.270884889
1.250764132,0.547255771,-0.145881379,0.307857305
1.267318964,0.518259311,-0.132507923,0.326620881
1.299506664,0.461164782,-0.106625641,0.356549712
1.323568583,0.422876902,-0.088985557,0.370406390
1.345904827,0.384992119,-0.070957794,0.379225333
1.379278660,0.329736682,-0.044329064,0.382804285
1.401294231,0.294154757,-0.026855671,0.379060719
1.423954010,0.370777767,-0.048638986,0.398213059
1.456811428,0.501172093,-0.087597000,0.420204015
1.479040146,0.587796914,-0.112489884,0.428948758
1.512482882,0.716406162,-0.150262250,0.433302849
1.534762621,0.801245730,-0.175584869,0.429912125
1.568528414,0.926877403,-0.214234039,0.415384917
1.601754189,1.050508748,-0.252814031,0.390029317
1.623458624,1.132391701,-0.278509396,0.367039340
1.657074213,1.253723515,-0.316783219,0.323593694
1.689642906,1.373689799,-0.355393299,0.269556101
1.711891890,1.452509819,-0.381194479,0.227283122
1.734524965,1.530183354,-0.406971013,0.180233722
1.756890535,1.607219643,-0.432699660,0.129406433
1.790740967,1.721593299,-0.471041646,0.043468736
1.812864542,1.796984794,-0.496665141,-0.019097228
1.846115589,1.897706205,-0.530550968,0.015157303
1.868149042,1.960854656,-0.551820702,0.064093290
1.901784897,2.054514558,-0.583868893,0.128855794
1.934624672,2.147963783,-0.616323748,0.180704912
1.968596697,2.239972272,-0.648483335,0.220838151
2.012387991,2.360633833,-0.690447876,0.255901043
2.046195984,2.451063985,-0.722741433,0.268694929
2.078975439,2.539998707,-0.755103905,0.270559215
2.112491131,2.625259921,-0.787514725,0.262037725
2.146179676,2.580398333,-0.780610999,0.299916346
2.179174185,2.458891688,-0.753625624,0.359399298
2.202562571,2.378731797,-0.736331027,0.392895633
2.224212646,2.298748385,-0.719194483,0.420922585
2.257049322,2.179978984,-0.693711127,0.454475161
2.279040575,2.102398014,-0.676750582,0.470389039
2.312257051,1.986364184,-0.651976919,0.484431790
2.343467712,1.871544174,-0.627494123,0.487343218
2.366711855,1.795554440,-0.611169192,0.483433755
2.400773525,1.682081348,-0.587239172,0.469119615
2.422338963,1.607169051,-0.571926233,0.453739678
2.456244707,1.495889904,-0.548959862,0.421334777
2.489279509,1.385763200,-0.526479591,0.378958888
2.511329651,1.312772571,-0.511863343,0.345023039
2.544425249,1.204428543,-0.490237886,0.286262657
2.578864098,1.097370200,-0.469170098,0.216804622
2.601632118,1.026407460,-0.455060097,0.164215458
2.634942293,0.921163564,-0.434262637,0.078113848
2.666187525,0.816909245,-0.413172288,-0.017459689
2.688567877,0.751302424,-0.400712694,-0.023893134
2.722125769,0.660178291,-0.383679958,0.056196104
2.755554914,0.570129695,-0.366438417,0.125052474
2.790690184,0.481606816,-0.350509790,0.181075761
2.823977709,0.393626798,-0.334765180,0.226982263
2.857077837,0.306762961,-0.319963373,0.261786793
2.890028715,0.221426802,-0.304274694,0.286145780
2.901153326,0.220945463,-0.304596988,0.290409368
