t,x,y,z
0.000000000,0.119327508,-2.170054741,1.599146759
0.027561426,0.217131861,-2.132247473,1.614739248
0.055458307,0.313845164,-2.094358542,1.621201638
0.077700377,0.390698833,-2.064585435,1.620422552
0.099370003,0.466296180,-2.035173345,1.614601268
0.128271341,0.579029617,-1.991131029,1.596578779
0.161719322,0.671131799,-1.955467537,1.571919533
0.199559927,0.797825512,-1.906031754,1.525344532
0.215947151,0.851328315,-1.884957799,1.501164053
0.244737387,0.939363730,-1.850897779,1.453549618
0.265998602,1.008869143,-1.823509727,1.410517841
0.287864685,1.077743300,-1.797305922,1.362797682
0.304533243,1.128479634,-1.777268095,1.324307353
0.322649479,1.178689083,-1.758453678,1.282840761
0.354618311,1.276861530,-1.720793698,1.191819156
0.395097256,1.404524665,-1.672500925,1.055249604
0.437997103,1.511882975,-1.631300793,0.921259472
0.460863352,1.572220996,-1.609060873,0.838783691
0.488065004,1.645509937,-1.581668798,0.731407622
0.511496544,1.702717159,-1.562193530,0.638574452
0.554619789,1.812154640,-1.520469212,0.444341708
0.606063843,1.929221775,-1.478573525,0.206634581
0.638985634,2.004136212,-1.453207873,0.037019489
0.660768986,2.050031695,-1.453330359,-0.075353915
0.684783220,2.109873262,-1.450641654,0.038334426
0.727048397,2.192821960,-1.443983293,0.192268657
0.749908686,2.240205167,-1.441384899,0.279743585
0.771831989,2.289252829,-1.438109145,0.350071226
0.793888807,2.336064327,-1.435492701,0.417494929
0.815682650,2.380901022,-1.431316504,0.481311398
0.828652382,2.404661153,-1.434828296,0.505797451
