t,x,y,z
0.000000000,-0.249187327,0.381993369,0.013187212
0.016761303,-0.241128802,0.380572620,0.010914436
0.039756775,-0.234660365,0.375994352,0.005788468
0.061388493,-0.229422328,0.369357096,0.002280958
0.088777781,-0.226957938,0.369152496,0.002880216
0.106312752,-0.226453302,0.369563621,0.002955816
0.127810240,-0.226126448,0.370065686,0.003035245
0.161054134,-0.225781965,0.370487945,0.003308218
0.188945532,-0.225345495,0.370669585,0.003884848
0.211386442,-0.224647493,0.371015560,0.005053922
0.227768183,-0.224016308,0.371425157,0.005953867
0.244678497,-0.221823909,0.372369972,0.006962248
0.262387991,-0.221751659,0.373310963,0.008461662
0.277860403,-0.219713430,0.375138977,0.009577020
0.294717789,-0.219065850,0.376148686,0.011487899
0.316881657,-0.218086302,0.377297296,0.014134406
0.350538254,-0.216181393,0.378506868,0.017680502
0.366801500,-0.215325558,0.378504875,0.019788645
0.383593082,-0.213962240,0.378532133,0.021193797
0.400578737,-0.212969717,0.378381687,0.022863597
0.416813850,-0.211855901,0.378247816,0.024426676
0.445005894,-0.210101424,0.378262443,0.027621404
0.461255550,-0.208819497,0.378405811,0.030100101
0.490786076,-0.206151180,0.379350718,0.034848214
0.524030447,0.455212901,0.376045493,0.004443253
0.546193123,0.466927675,0.380954830,0.004218974
0.584978104,0.483915028,0.386776686,0.005161071
0.606828213,0.488969216,0.387804944,0.006417909
0.634380579,0.491945598,0.388306550,0.006806646
0.656281948,0.492997933,0.388238444,0.006707437
0.678394079,0.493727543,0.388412870,0.006560182
0.694651365,0.494180873,0.388565360,0.006425370
0.711252451,0.494590691,0.388729801,0.006279472
0.727497816,0.495084717,0.388947741,0.006113977
0.744778395,0.495977839,0.389507090,0.005599862
0.766774416,0.497882849,0.391380817,0.004490032
0.794371367,0.502668963,0.393204495,0.002431740
0.811513424,0.502782427,0.393083813,0.002485230
0.827611446,0.503507275,0.393325306,0.002206357
0.844643116,0.504891079,0.394113732,0.001486499
0.861088991,0.505373329,0.394143962,0.001602647
0.888814688,0.509923626,0.395885931,0.000350007
0.900496721,0.512425031,0.397347547,-0.001212148
0.922610998,0.514183738,0.398354512,-0.001974022
0.938941479,0.514223891,0.398381403,-0.001477465
0.955936193,0.514472322,0.398260207,-0.000753288
0.972768545,0.514841713,0.398396313,-0.000228588
0.994868279,0.739389306,0.563664519,0.029147234
1.027712107,0.851249910,0.573656746,0.017086286
1.044742346,0.910066337,0.575194550,0.015064238
1.067170143,0.979794154,0.575569678,0.017527533
1.083565474,1.021556573,0.575913471,0.022193559
1.105499506,1.066655477,0.571868938,0.022900191
1.122581005,1.090608271,0.566525211,0.019220946
1.138667583,1.105404299,0.561349803,0.013179582
1.155662298,1.113134558,0.557351812,0.012343591
1.188773155,1.130156432,0.552117883,0.013292759
1.205814362,1.135447632,0.552147275,0.014891768
1.222810745,1.137509654,0.551948447,0.015379302
1.238764763,1.140212901,0.551089163,0.015624781
1.255594015,1.142640355,0.549660089,0.015307661
1.277713060,1.144259899,0.548530833,0.015128887
1.294575691,1.145285352,0.548403633,0.015009898
1.316657305,1.145966602,0.548522690,0.015088914
1.333651304,1.147586990,0.547654963,0.014673082
1.366861343,1.148318217,0.548713950,0.018050094
1.394624472,1.152219492,0.544107759,0.017616801
1.411170244,1.152748919,0.543828486,0.018115214
1.427744150,1.155123973,0.542498120,0.017696958
1.450752974,1.156912769,0.541870738,0.018247997
1.466880083,1.157016402,0.541630862,0.018869760
1.489440918,1.165828898,0.424768824,0.158891706
1.505733728,1.215548310,0.420798138,0.137132099
1.522994041,1.255988144,0.411623909,0.118294222
1.541789055,1.308840791,0.403302954,0.095063114
1.577485323,1.445088764,0.377697378,0.043417793
1.610434055,1.561713461,0.348540276,0.017872990
1.632608652,1.630145703,0.330932504,0.017726944
1.655076742,1.688360403,0.324959342,0.017936195
1.677526712,1.731789532,0.329550299,0.018220105
1.710600138,1.754220595,0.342111903,0.014575974
1.743765831,1.770052615,0.347154855,0.016586837
1.765950203,1.779209665,0.345329981,0.018702242
1.788328409,1.786245685,0.346270052,0.019328530
1.821548223,1.789826676,0.346869498,0.019764401
1.843778133,1.791480542,0.347219204,0.019656542
1.866451979,1.792235709,0.347405415,0.019545290
1.899654388,1.791851690,0.346064160,0.019950626
1.932719231,1.792530200,0.345894124,0.020445537
1.954896212,1.793071166,0.345964995,0.020279098
1.977609873,1.812654440,0.349301408,0.014254349
2.021787405,1.655578228,0.486949588,0.211743852
2.054835796,1.737319063,0.482728724,0.179389190
2.077263594,1.781616933,0.482022836,0.158512022
