t,x,y,z
0.000000000,-0.127623160,-4.285501459,0.000723235
0.017131090,-0.127498923,-4.285550334,0.000653491
0.045038223,-0.127526698,-4.285560101,0.000553120
0.058141708,-0.127439997,-4.285623258,0.000412092
0.074619055,-0.127456091,-4.285611224,0.000536224
0.085841417,-0.127473635,-4.285581481,0.000534303
0.102476358,-0.127546127,-4.285492136,0.000602572
0.135719299,-0.127407607,-4.285781875,0.000454527
0.146992683,-0.127504200,-4.285737013,0.000531023
0.158774137,-0.127450360,-4.285795993,0.000402970
0.174909592,-0.127418374,-4.285922991,0.000285624
0.191631317,-0.127525716,-4.285690766,0.000420534
0.197571039,-0.127423022,-4.285885620,0.000302631
0.219676971,-0.127390843,-4.285836472,0.000517920
0.230932713,-0.127477536,-4.285774301,0.000549854
0.258572340,-0.127399760,-4.285877209,0.000350615
0.291496277,-0.127362597,-4.285855238,0.000221613
0.308671236,-0.127485946,-4.285689570,0.000558685
0.330789804,-0.127314672,-4.285933708,0.000117849
0.352814198,-0.127605013,-4.285349148,0.000893667
0.369628906,-0.127552646,-4.285373704,0.000827465
0.402850866,-0.127765143,-4.285097788,0.001106088
0.430474043,-0.127530779,-4.285443351,0.000683392
0.458412409,-0.127483389,-4.285604911,0.000620928
0.474662304,-0.127465996,-4.285704940,0.000464509
0.502936840,-0.127149763,-4.286365600,-0.000161954
0.525231838,-0.127226533,-4.286237248,0.000076165
0.553071022,-0.127343752,-4.285886093,0.000214759
0.558148384,-0.127505325,-4.285616134,0.000516448
0.580634832,-0.127680632,-4.285399565,0.000869495
0.591900587,-0.127740731,-4.285152761,0.001009758
0.613996983,-0.127632096,-4.285415961,0.000814732
0.635750294,-0.127517853,-4.285496392,0.000613835
0.647481441,-0.127332690,-4.285947647,0.000174559
0.674763918,-0.127252693,-4.286013914,0.000111537
0.691575766,-0.127196941,-4.286181922,0.000069248
0.719425201,-0.127467374,-4.285661972,0.000575471
0.742589712,-0.127637010,-4.285371272,0.000794484
0.769543171,-0.127644325,-4.285307608,0.000926822
0.797261715,-0.127431663,-4.285694862,0.000470490
0.830833912,-0.127229732,-4.286103380,0.000046833
0.852913380,-0.127159486,-4.286147285,0.000045874
0.869494438,-0.127296919,-4.285975203,0.000255521
0.891500711,-0.127553560,-4.285504260,0.000664408
0.919566393,-0.127648938,-4.285390382,0.000760944
0.941848040,-0.127682783,-4.285298225,0.000970465
0.969520807,-0.127501920,-4.285584448,0.000646741
