t,x,y,z
0.000000000,-5.032376923,0.422636949,-0.000563232
0.016611576,-5.030382315,0.416532154,-0.000292509
0.050071716,-5.025968615,0.404829638,0.000855741
0.072114706,-5.022605070,0.393962629,0.002087651
0.082952976,-5.021068319,0.388319692,0.002847287
0.099939823,-5.017386702,0.377120429,0.003695314
0.121878624,-5.014436299,0.367864487,0.004650874
0.143972397,-5.010921424,0.356617007,0.006281256
0.155247688,-5.008939993,0.350016397,0.007485763
0.166778326,-5.006183215,0.340460103,0.008193386
0.194112539,-5.002644456,0.327571006,0.009447099
0.205637455,-5.000188610,0.317758132,0.009898820
0.232935667,-4.996701836,0.301642864,0.010748944
0.238838911,-4.996068809,0.299551773,0.010727914
0.260997057,-4.993415172,0.287294578,0.010757552
0.288623810,-4.989411481,0.272590525,0.012300078
0.311083317,-4.986526469,0.266349430,0.012166799
0.322006226,-4.983371281,0.258882968,0.011516531
0.350076437,-4.978218867,0.250346073,0.010703771
