t,x,y,z
0.000000000,-3.613576265,-1.455220127,0.393349904
0.039904594,-3.552339497,-1.445753919,0.354883135
0.097236395,-3.492619163,-1.409721617,0.434930635
0.144869328,-3.439420201,-1.377686300,0.491033041
0.194124699,-3.387227070,-1.345312297,0.523185853
0.228237629,-3.352490831,-1.323858433,0.531011125
0.261414289,-3.317969299,-1.302831674,0.528216357
0.278071404,-3.300686235,-1.292150660,0.522817571
0.311349392,-3.266509538,-1.271032707,0.504140310
0.344330311,-3.232474950,-1.249680904,0.475280754
0.378064871,-3.198201904,-1.230539234,0.435566569
0.444139719,-3.130032445,-1.188931803,0.389679853
0.510964394,-3.062254656,-1.143124641,0.492806268
0.560790300,-3.011335229,-1.109906952,0.541774604
0.611763954,-2.961321192,-1.076351318,0.567110688
0.647475243,-2.922310089,-1.050825174,0.570075611
0.699806213,-2.872292242,-1.018505829,0.552172435
0.750633717,-2.822038939,-0.986781629,0.510374101
0.783717155,-2.789201293,-0.965587966,0.469282619
0.817033529,-2.756552096,-0.944957055,0.417418193
0.849906683,-2.724438130,-0.948152073,0.429213391
0.883108139,-2.704665590,-0.967409548,0.463479358
0.923638344,-2.675843328,-0.969446905,0.483135297
0.959511757,-2.634219403,-0.945003010,0.486892137
0.993568897,-2.589653301,-0.907595008,0.475107657
1.043451548,-2.515245481,-0.839894172,0.433377152
1.076864004,-2.465677249,-0.794503518,0.396435538
1.112193584,-2.419024010,-0.754166503,0.361671933
1.164294958,-2.348926868,-0.694694041,0.320754688
1.216987610,-2.281044131,-0.654323671,0.295582638
1.249493122,-2.233092333,-0.632959042,0.282787174
1.281332493,-2.181008078,-0.612714705,0.273590553
1.314833879,-2.127875538,-0.596653563,0.268471296
1.349738598,-2.073176922,-0.585105383,0.267074470
1.383193493,-2.018233073,-0.576695275,0.268513557
1.433876514,-1.936914245,-0.567373602,0.273010538
1.474807739,-1.874373014,-0.562626634,0.281205555
1.507681608,-1.820604611,-0.558802559,0.291198470
1.546976089,-1.759641967,-0.558676492,0.302288575
1.569123745,-1.723892565,-0.557952171,0.311360853
1.588398218,-1.688313281,-0.558110686,0.322027222
1.621566534,-1.635433053,-0.555578743,0.336117170
1.644091606,-1.601813845,-0.554699106,0.345958021
1.689141989,-1.547911224,-0.558352798,0.363820373
1.732560873,-1.492771944,-0.565653424,0.376026366
1.777484179,-1.433905737,-0.578147777,0.369641725
1.801365376,-1.408708484,-0.584782175,0.358403585
1.821801662,-1.384492244,-0.592185181,0.342460781
1.848085165,-1.357723467,-0.603051374,0.319005216
1.873141527,-1.338833770,-0.611574584,0.305658963
1.895267963,-1.318095525,-0.613207036,0.308665403
1.917695761,-1.286311270,-0.606151912,0.317063935
1.950147390,-1.236267831,-0.592848358,0.322229603
1.994060516,-1.165815291,-0.571401022,0.326822607
2.027693033,-1.108891164,-0.554889639,0.329699989
2.082523346,-1.013941875,-0.532329275,0.311360091
2.122555256,-0.948233008,-0.521913421,0.284106393
2.162545443,-0.885944660,-0.515280023,0.257826617
2.194205761,-0.850845714,-0.511604443,0.240928105
2.201439619,-0.825140272,-0.509915837,0.228760146
2.237765312,-0.768148127,-0.509233566,0.204606747
2.288079262,-0.692471309,-0.525662787,0.191850059
2.322188377,-0.643031191,-0.553021910,0.197445295
