t,x,y,z
0.000000000,3.513967877,-0.666947371,0.089951280
0.033174276,3.544445781,-0.700647807,0.113532485
0.077767849,3.578061770,-0.740094846,0.139564925
0.110944986,3.601549052,-0.763387724,0.149346643
0.144862175,3.619416874,-0.779634713,0.151851881
0.177665472,3.627889673,-0.791796828,0.139732296
0.210962057,3.625659828,-0.810180550,0.118889805
0.234053135,3.628181085,-0.828921460,0.106066379
0.255877495,3.629228100,-0.845872888,0.093278471
0.277914047,3.630585720,-0.861798185,0.079518703
0.311131239,3.632639814,-0.878582496,0.062784939
0.333755970,3.636269440,-0.884068751,0.054250360
0.366950274,3.643493525,-0.888151520,0.044637443
0.399938583,3.647810758,-0.891383364,0.036532160
0.422093868,3.649777160,-0.893703946,0.031626782
0.465861320,3.653338679,-0.898196308,0.020815066
0.501062155,3.657052381,-0.901462389,0.011370930
0.538605452,3.657835761,-0.904591174,0.005718749
0.578563452,3.659012821,-0.906113776,0.002699993
0.609132767,3.660082856,-0.905800363,0.001708446
0.631242990,3.660517422,-0.905664201,0.001287521
0.653259277,3.660694741,-0.905640482,0.000973778
0.687570572,3.660979119,-0.905737362,0.000674869
0.709954500,3.661038378,-0.905859742,0.000559769
0.745621204,3.660882316,-0.905979185,0.000315789
0.782993078,3.660776387,-0.906095448,0.000204880
0.803750992,3.660638074,-0.906126454,0.000138359
0.836615801,3.660485467,-0.906126692,0.000004463
0.860388517,3.660347223,-0.906156230,-0.000040353
0.894994020,3.660102914,-0.906270900,0.000035890
0.927879572,3.659832601,-0.906377970,0.000240732
0.964136839,3.659525542,-0.906534026,0.000369608
