t,x,y,z
0.000000000,-0.127156908,-4.287068798,0.000385665
0.033034563,-0.127026979,-4.287123287,0.000242077
0.059581995,-0.127139636,-4.287086794,0.000348219
0.081053257,-0.127071330,-4.287312044,0.000221951
0.103353262,-0.126861358,-4.287816471,-0.000314829
0.136379242,-0.127146760,-4.287304956,0.000377625
0.159722805,-0.127340075,-4.286883105,0.000808630
0.192819595,-0.127093597,-4.287221137,0.000133647
0.226179123,-0.126895187,-4.287504803,-0.000127117
0.259888411,-0.127200885,-4.286953247,0.000633283
0.282852411,-0.127090197,-4.287209258,0.000152653
0.316100359,-0.126753322,-4.287980761,-0.000318156
0.349094391,-0.127245080,-4.287084174,0.000740084
0.382542849,-0.127309381,-4.286855473,0.000763874
0.416054249,-0.126710197,-4.287736906,-0.000619300
0.449224710,-0.126940175,-4.287528849,-0.000314145
0.482956409,-0.127261439,-4.287089040,0.000651152
0.516165257,-0.126909663,-4.287664880,0.000016209
0.538774252,-0.126902389,-4.287654278,-0.000294899
0.553210258,-0.127286520,-4.287096293,0.000637368
0.577347755,-0.127198055,-4.287148927,0.000411602
0.603531361,-0.126833681,-4.287806214,-0.000236192
0.626977444,-0.126873258,-4.287372395,-0.000031283
0.649359226,-0.127121675,-4.287060747,0.000196268
0.671591520,-0.127433927,-4.286481645,0.001259255
0.694210052,-0.127053211,-4.287106272,0.000017896
0.727035046,-0.126763882,-4.287839133,-0.000433027
0.760794640,-0.127246288,-4.287242759,0.000646260
0.793905497,-0.127019354,-4.287519096,0.000249176
0.827230215,-0.127023196,-4.287285608,0.000295844
0.860617399,-0.127359886,-4.286560203,0.000592095
0.894169569,-0.126945900,-4.287391062,-0.000091018
0.927503347,-0.127005675,-4.287387509,0.000085251
0.949881554,-0.127039421,-4.287472454,0.000126352
0.983346701,-0.127186549,-4.287339466,0.000392485
1.016886711,-0.126797034,-4.287870264,-0.000343418
1.038491249,-0.127020678,-4.287374380,0.000090992
1.071579933,-0.127279244,-4.286844640,0.000749208
1.105043888,-0.126853072,-4.287580616,-0.000212226
1.138229132,-0.126939966,-4.287529891,-0.000060701
1.172084808,-0.127223882,-4.287210592,0.000665039
1.205137253,-0.126827751,-4.287769339,-0.000245321
1.238242388,-0.127049372,-4.287198935,0.000005106
1.271540642,-0.127267222,-4.286878743,0.000526874
1.294036150,-0.127092931,-4.287194176,0.000382081
1.327121973,-0.126916274,-4.287535502,-0.000032335
1.349401712,-0.127016365,-4.287494096,-0.000018339
1.382973194,-0.127007364,-4.287578030,-0.000069816
1.416288853,-0.126894403,-4.287727563,-0.000011220
1.449686766,-0.127266299,-4.287087898,0.000672253
1.483131409,-0.126947697,-4.287367661,0.000053847
1.515902996,2.918005898,-1.364154051,4.549904154
1.549898148,2.932985497,-1.344289894,4.548853067
1.583194971,2.931072338,-1.324749746,4.548732359
1.616166592,2.920434224,-1.306143407,4.552330977
1.649396896,2.902049246,-1.287701379,4.558106319
1.671817780,2.887956392,-1.275802300,4.561703330
1.704921246,2.864443522,-1.258167400,4.565247722
1.738252163,2.838037481,-1.242071506,4.568517863
1.771616936,2.810611574,-1.226101960,4.568966238
1.805055380,2.782761572,-1.210041415,4.568007876
1.838457823,2.756621058,-1.195269456,4.564278463
1.871907473,2.734677924,-1.180136799,4.557357585
1.904977083,2.712456618,-1.168414993,4.548720690
1.938240290,2.694997201,-1.157495971,4.542607829
1.971539021,2.681061312,-1.147153705,4.537272533
2.005296230,2.668934258,-1.136044391,4.530446736
2.027170658,2.661198162,-1.128027349,4.525037529
2.049415350,2.653708075,-1.119386526,4.518834175
2.082521915,2.644697836,-1.106251115,4.515304430
