t,x,y,z
0.000000000,-0.067013631,-0.872174902,0.278813554
0.033609390,0.079928617,-0.860823629,0.252054388
0.056047678,0.177302187,-0.853075813,0.227707687
0.090061903,0.321681185,-0.842287966,0.182232950
0.112674713,0.417024726,-0.835322760,0.145741831
0.145653009,0.556675333,-0.826256915,0.081997568
0.166700840,0.649411201,-0.819908214,0.033449462
0.189213037,0.740598963,-0.814382023,-0.019599315
0.223025560,0.860692520,-0.806865003,0.030759154
0.238564491,0.919356051,-0.802858908,0.062055837
0.262959003,0.996537371,-0.798286712,0.098133483
0.294265509,1.091782138,-0.793055726,0.135623338
0.311361313,1.167830157,-0.788675217,0.160365502
0.333405018,1.243360405,-0.784749825,0.179139841
0.355367661,1.317456968,-0.781746104,0.192380923
0.377305984,1.391609640,-0.778134291,0.200973376
0.410923004,1.501611468,-0.773874915,0.203369256
0.434006929,1.573979122,-0.770758891,0.198717850
0.466930866,1.681976002,-0.766649885,0.182021156
0.499115705,1.768364217,-0.763825993,0.159204577
0.532628536,1.890359146,-0.760672821,0.114500681
0.555009365,1.959331532,-0.759254924,0.081938607
0.599009991,2.095323046,-0.755811180,0.003329562
0.633297443,2.184151820,-0.754559445,0.016269752
0.655776024,2.239387747,-0.753697035,0.049735745
0.689765453,2.320827775,-0.752524921,0.089974307
0.711059570,2.374748628,-0.752600965,0.110346307
0.745284557,2.454899718,-0.751389089,0.132346456
0.778260708,2.535186032,-0.750984953,0.142156499
0.800930977,2.587758078,-0.751122470,0.142352929
0.845066071,2.691902959,-0.751454845,0.128123230
0.879961729,2.743464716,-0.749884272,0.115915496
