t,x,y,z
0.000000000,0.478518570,-0.903305657,-0.026257033
0.044160128,0.346973550,-0.905674778,0.027059766
0.077332973,0.250869669,-0.909003652,0.073685787
0.099558115,0.187841528,-0.911115344,0.098941095
0.133497953,0.093288102,-0.915086060,0.126657078
0.155404329,0.031352491,-0.918054673,0.139678814
0.199785471,-0.084449508,-0.924772729,0.148509089
0.244194984,-0.035388228,-0.918837613,0.221137892
0.266246319,0.041678705,-0.910667736,0.276418260
0.299579144,0.156360758,-0.898214020,0.350157348
0.332955837,0.268428754,-0.886559333,0.412542171
0.366269112,0.380818484,-0.875107529,0.463419591
0.400497437,0.492041231,-0.864674448,0.503620307
0.423262835,0.565739755,-0.858024200,0.523529206
0.455820322,0.674997194,-0.847759176,0.543790017
0.479208469,0.765439604,-0.839738782,0.553255353
0.501213074,0.819698557,-0.835010028,0.555104715
0.534358025,0.927706640,-0.825643535,0.551094327
0.556804180,0.999016713,-0.819682715,0.542860097
0.588542223,1.105450355,-0.811229964,0.521543553
0.610678673,1.175857576,-0.805815142,0.501022512
0.644500256,1.280384722,-0.798520586,0.461827040
0.677983761,1.383968512,-0.790926118,0.412796902
0.700324297,1.452582014,-0.785914285,0.374514698
0.722158909,1.520657035,-0.781130296,0.331762467
0.744650364,1.588085210,-0.776596743,0.284219384
0.777562618,1.688407184,-0.769670973,0.203672536
0.821993828,1.819980568,-0.760395564,0.081616305
0.855180264,1.917790376,-0.754070577,-0.021138102
0.877466440,1.959785755,-0.750396769,0.020335369
0.911050558,2.022588256,-0.745960533,0.103414744
0.944124937,2.084519630,-0.742127357,0.172553827
0.977327585,2.147337308,-0.737203961,0.230303051
1.010729074,2.208850667,-0.733260128,0.277934533
1.044366360,2.271989611,-0.729736595,0.311991451
1.077716112,2.333053951,-0.726307665,0.335855093
1.111343145,2.393495480,-0.722890494,0.347779687
1.133519650,2.434966629,-0.721258877,0.350748167
1.166474581,2.495631680,-0.718752360,0.343547161
1.188533306,2.535700034,-0.717121703,0.333693885
1.222321749,2.594448355,-0.714697087,0.308735778
1.255728960,2.645114596,-0.713603097,0.278044307
