t,x,y,z
0.000000000,-0.830925468,-1.090928765,0.011147565
0.022428036,-0.829093616,-1.099275196,0.010844116
0.038720608,-0.827628343,-1.104733771,0.010758888
0.060943127,-0.825820476,-1.112548572,0.011919061
0.072876453,-0.825343028,-1.115875799,0.011972295
0.088689804,-0.825166704,-1.120568425,0.013288382
0.099831820,-0.825638730,-1.122664973,0.013124812
0.111003399,-0.826589342,-1.123752332,0.012545888
0.125763178,-0.827697111,-1.124595851,0.012778034
0.138915539,-0.827812655,-1.124756525,0.013146807
0.149859905,-0.827485433,-1.125107195,0.013758328
0.166791677,-0.825916937,-1.126026787,0.013920078
0.188816309,-0.822287714,-1.127972397,0.014508531
0.200060606,-0.820248870,-1.129283380,0.014832713
0.216570377,-0.816331592,-1.131743728,0.015762770
0.238748312,-0.809993612,-1.136227302,0.017441669
0.249849558,-0.805852118,-1.138631134,0.018179796
0.266644955,-0.799150405,-1.143604053,0.019438874
0.288754702,-0.789042498,-1.150412579,0.020079841
0.299875975,-0.784125820,-1.154617998,0.020502489
0.310972691,-0.779145923,-1.158680143,0.020070544
0.327889204,-0.772226803,-1.165377360,0.019330880
0.355764627,-0.762088406,-1.176090212,0.015390640
0.372084856,-0.759558377,-1.181901958,0.012405310
0.391697645,-0.759158241,-1.187762544,0.007531902
0.405758381,-0.759680555,-1.190161160,0.005590399
0.422315598,-0.760229169,-1.191130017,0.003838927
0.433433294,-0.760186444,-1.191536219,0.003548197
0.444651604,-0.759944398,-1.191251554,0.003343749
0.461337090,-0.759839486,-1.191008116,0.003349166
0.483380318,-0.759901191,-1.191119098,0.003015295
0.500196457,-0.759784440,-1.190893036,0.002743202
0.516773224,-0.759685191,-1.190550421,0.002456344
0.538797855,-0.759532463,-1.189679404,0.001224278
0.555714130,-0.759499666,-1.189243584,0.000838222
0.577623367,-0.759636039,-1.188736426,0.000468261
0.588750362,-0.759747075,-1.188661768,0.000535515
0.605470657,-0.759959432,-1.188424848,0.000466474
0.627664566,-0.760158457,-1.188119456,0.000333449
0.638792038,-0.760231614,-1.188052401,0.000353387
0.655445576,-0.760300861,-1.187741301,0.000182607
0.677640915,-0.760304857,-1.187409579,-0.000058744
0.688743830,-0.760339658,-1.187217673,0.000009392
0.705651283,-0.760502192,-1.186796322,-0.000062495
0.727608681,-0.760674006,-1.186298284,0.000037359
0.744568586,-0.760993906,-1.185740479,-0.000118767
0.766504526,-0.761321422,-1.184884380,-0.000036574
0.788720608,-0.761493387,-1.183903597,-0.000482927
0.810944796,-0.761608048,-1.183881937,-0.000011463
0.822107792,-0.761588971,-1.183787229,0.000208161
0.838735104,-0.761643919,-1.183875156,0.000615781
0.860976458,-0.761582138,-1.183991373,0.000945300
0.872084856,-0.761491545,-1.184033345,0.001035651
0.883557558,-0.761336888,-1.184118464,0.001091119
0.899839640,-0.761146756,-1.184164910,0.001101213
0.922177076,-0.760843994,-1.184315423,0.001273022
0.938719034,-0.760671747,-1.184417424,0.001337881
0.949839115,-0.760490639,-1.184465543,0.001343209
0.966699362,-0.760311552,-1.184586150,0.001391191
0.994402885,-1.070078764,-1.448724320,0.109558421
1.016843319,-1.079635933,-1.433774775,0.122255317
1.027637959,-1.083058046,-1.427609793,0.126520672
1.044685841,-1.084764187,-1.420097745,0.131338319
1.066476822,-1.086053276,-1.408935414,0.133260012
1.083175182,-1.090529657,-1.399008896,0.130924177
1.105468035,-1.101252610,-1.380722516,0.121551246
1.116568565,-1.109857967,-1.371231783,0.116007924
1.133280277,-1.125169081,-1.356350685,0.105820008
1.155428648,-1.149063841,-1.336012100,0.089175635
1.166742086,-1.161740559,-1.325202434,0.079597267
1.177616835,-1.174175424,-1.313318487,0.070016783
1.194294453,-1.192735205,-1.293279157,0.055299774
1.210965633,-1.210158133,-1.271367096,0.040842331
1.227674007,-1.225359032,-1.249213417,0.030369376
1.249835730,-1.241630048,-1.219013449,0.018100317
1.260956287,-1.246892290,-1.203613714,0.012455831
1.277672529,-1.251129323,-1.181690218,0.007488322
1.299845934,-1.252687846,-1.155657385,0.003203716
1.311297655,-1.252850262,-1.144394942,0.002580106
1.327679634,-1.252721639,-1.131875877,0.002553002
