t,x,y,z
0.000000000,1.981264875,-0.797060418,0.924775777
0.056154251,2.161378609,-0.786847293,0.869581566
0.078123093,2.225969782,-0.783386462,0.840589341
0.122461557,2.352304320,-0.777330466,0.767226271
0.166597843,2.477067504,-0.771929111,0.674930108
0.198993444,2.552932918,-0.769026726,0.607711484
0.243936777,2.675191664,-0.759630652,0.668335109
0.288181782,2.766399460,-0.751968393,0.735883234
0.337244511,2.883013959,-0.743153250,0.799306574
0.369960785,2.960600026,-0.737514398,0.827037468
0.403525591,3.036906903,-0.732601883,0.843411383
0.454099894,3.149543264,-0.724982019,0.847342285
0.494222879,3.248657316,-0.718540508,0.829625255
0.548267603,3.358603503,-0.712062520,0.785801523
0.581525803,3.429928209,-0.708140121,0.742639121
0.614876270,3.502261665,-0.704561090,0.689345279
0.647902489,3.560840962,-0.708178806,0.655285750
0.681293249,3.529837737,-0.736508442,0.838349031
0.731267691,3.482971614,-0.781047540,1.083148201
0.762977600,3.451714408,-0.811970990,1.227193324
0.795759916,3.420308403,-0.844055522,1.357100080
0.845932722,3.373516765,-0.892539830,1.526188425
0.893406391,3.333267106,-0.936358322,1.652705106
0.925759077,3.303462124,-0.970175928,1.731362994
0.958376408,3.273878437,-1.003979388,1.797631302
1.008650064,3.230649253,-1.054762635,1.874843316
1.058875561,3.189706903,-1.106502947,1.924085713
1.080984116,3.171563373,-1.129274849,1.938316670
1.108885050,3.149477996,-1.158357730,1.948287638
1.129737139,3.131865843,-1.181419333,1.950739362
1.176118374,3.097274604,-1.227139552,1.940229159
1.228302002,3.054577220,-1.284670486,1.900565089
1.272192240,3.021765306,-1.330666017,1.847000223
1.340055227,2.972862362,-1.397832354,1.730892509
1.383992910,2.941873636,-1.441810402,1.630537120
1.428401232,2.911800716,-1.484369255,1.511611156
1.471302271,2.886545718,-1.521102329,1.393657259
1.526869059,2.852312549,-1.571825920,1.203529308
1.575562239,2.824468865,-1.614710196,1.010293982
1.609248877,2.807247401,-1.641992441,0.870450586
1.645347595,2.788704289,-1.671674647,0.696487422
1.682109594,2.774010911,-1.695378866,0.538236903
1.715500355,2.761464653,-1.718371880,0.374074520
1.732819319,2.755906103,-1.728359715,0.288009304
1.777870417,2.744347896,-1.748135506,0.110778125
1.803527355,2.732811994,-1.768789942,-0.106240418
1.828214645,2.713828640,-1.795307946,-0.065831795
1.851035357,2.694234901,-1.820756345,0.038154697
1.894728184,2.655072183,-1.872337168,0.228735803
1.938560009,2.615673142,-1.925499617,0.396234420
1.982077122,2.581796266,-1.972858320,0.524663295
2.031993389,2.539506752,-2.032709678,0.665849525
2.068828821,2.507420948,-2.081416916,0.755617896
2.090688944,2.488267352,-2.109414737,0.801243199
2.124358892,2.464954722,-2.144665417,0.849346435
2.155072212,2.437618152,-2.186617491,0.898108019
2.207741261,2.392139271,-2.257156560,0.952932697
2.258422852,2.351651135,-2.320721207,0.976253052
2.298907280,2.322044185,-2.369615498,0.978438627
2.332811117,2.292196354,-2.418503818,0.964263625
2.371575832,2.261897712,-2.467752796,0.936549009
2.416115284,2.232624804,-2.516885801,0.893722631
2.460646152,2.195430149,-2.578923117,0.817435529
2.505393744,2.163748488,-2.632933267,0.731061221
2.572580576,2.117812425,-2.712343571,0.566858548
2.616863251,2.088383313,-2.763133474,0.436873788
2.661370039,2.060597877,-2.811888121,0.287571658
2.705255508,2.034733057,-2.854488284,0.125564500
2.760558844,2.004102097,-2.910847524,-0.102025034
2.804966688,1.972266819,-2.960591483,-0.000400075
2.849253416,1.945294776,-3.002957971,0.130091461
2.888457775,1.913405930,-3.054135155,0.254815728
2.910409451,1.899914928,-3.067452155,0.277290175
