t,x,y,z
0.000000000,-5.033322123,0.459291900,-0.011641468
0.033560991,-5.029634419,0.459139549,-0.007589375
0.060679197,-5.025026058,0.462815718,0.019230843
0.066706181,-5.024268987,0.463583195,0.023868681
0.106287956,-5.021050736,0.469985820,0.053209624
0.127924681,-5.020991108,0.472737883,0.074033178
0.150222778,-5.019668643,0.474647645,0.099208191
0.166129827,-5.019112884,0.475329276,0.112582848
0.194319963,-5.020838555,0.477555804,0.157043335
0.216911077,-5.023058086,0.477425914,0.186926153
0.232822418,-5.024455549,0.476572005,0.201894965
