t,x,y,z
0.000000000,2.474299289,-1.536002643,0.696466358
0.029151201,2.516641434,-1.560209331,0.713830105
0.055692196,2.543884420,-1.576721675,0.719728312
0.077627897,2.572570317,-1.592840045,0.719891562
0.099539042,2.600363027,-1.608820810,0.716186620
0.133161068,2.642680706,-1.633550240,0.701600044
0.155278206,2.671008533,-1.649581789,0.686252159
0.175272465,2.698466975,-1.666058568,0.665780675
0.208275318,2.739584127,-1.690067201,0.626527302
0.231146574,2.767124043,-1.705372524,0.594517157
0.253362656,2.794406644,-1.721968899,0.557904423
0.287280798,2.835216677,-1.746363330,0.494701041
0.309200287,2.863624175,-1.762961455,0.447216122
0.332768917,2.889736166,-1.779425520,0.396493401
0.365683556,2.729181761,-1.701390211,0.410782915
0.388018608,2.613300866,-1.645458481,0.419161849
0.432394743,2.386903375,-1.534466867,0.420021425
0.465688467,2.220656531,-1.452079132,0.410001606
0.499113083,2.057279434,-1.370307990,0.389702875
0.532685757,1.897279875,-1.289101398,0.359597926
0.554874659,1.792305566,-1.236304135,0.333448078
0.594614506,1.610811328,-1.143989698,0.276166146
0.615890503,1.508956577,-1.091646044,0.237859367
0.649120092,1.357895580,-1.014000685,0.172022000
0.672423601,1.234477567,-0.949131936,0.110077708
0.693278074,1.161422569,-0.910895232,0.069660286
0.714394093,1.064830111,-0.860490150,0.012257738
0.736655712,0.969063480,-0.810261589,-0.050024611
0.770107031,0.837288984,-0.740361974,-0.003296596
0.792249680,0.752838734,-0.694774516,0.041063469
0.814433575,0.668997656,-0.649802900,0.079991546
0.856010675,0.525557700,-0.574095940,0.137383558
0.890693426,0.384670493,-0.497636065,0.178482836
0.914563417,0.304782820,-0.454333670,0.195183183
0.936909676,0.225512083,-0.410886689,0.206913062
0.958761930,0.147364153,-0.367345936,0.213026621
0.981538296,0.072489868,-0.324580197,0.213163644
1.016301632,-0.041915934,-0.261512656,0.205656629
1.038043976,-0.116919896,-0.219801924,0.194656881
1.050632715,-0.172600464,-0.188364403,0.183332405
1.077782869,-0.223705702,-0.153576848,0.169814981
