t,x,y,z
0.000000000,-0.736136320,-1.717434225,0.226251809
0.014242411,-0.759432814,-1.690237906,0.221154477
0.033641338,-0.781765407,-1.661566623,0.212384746
0.045356274,-0.796821052,-1.641570913,0.205282667
0.072247744,-0.834098832,-1.588825561,0.181619082
0.094820023,-0.862983398,-1.543033443,0.158364125
0.105713367,-0.877634674,-1.519037413,0.145861401
0.122339010,-0.898076199,-1.479734847,0.126283078
0.144516230,-0.922822272,-1.422539119,0.100124936
0.161098003,-0.938334097,-1.377258656,0.081354523
0.183391333,-0.951662411,-1.314786036,0.058671553
0.205863476,-0.954441212,-1.253602118,0.040356743
0.216879129,-0.951759853,-1.225219452,0.032816526
0.233860731,-0.943144737,-1.186468721,0.023069797
0.255899668,-0.925791957,-1.143123539,0.014367516
0.266837358,-0.915704102,-1.125088941,0.010620884
0.277887821,-0.905048835,-1.109932600,0.006660377
0.294644356,-0.889110520,-1.093171516,0.001039161
0.316826344,-0.870441244,-1.080104368,-0.000187254
0.327786922,-0.867255224,-1.076203049,0.000669046
0.344576120,-0.866259231,-1.074732828,-0.000636493
0.366899252,-0.866255750,-1.075178802,-0.000219008
0.377929449,-0.866885393,-1.075276475,0.000851690
0.394776106,-0.867442470,-1.074274337,0.001143381
0.405728102,-0.868060077,-1.073986638,0.001392446
0.429486752,-0.868726445,-1.073689190,0.001360705
0.450153828,-0.868397349,-1.073844485,0.001036794
0.466678381,-0.868268845,-1.073894747,0.000863600
0.488878727,-0.868230485,-1.073883376,0.000705080
0.505896568,-0.868341337,-1.073913272,0.000563289
0.522751808,-0.868537065,-1.073938712,0.000457825
0.539026976,-0.868621679,-1.073992948,0.000383860
0.555602551,-0.868755155,-1.074093927,0.000256789
0.566702604,-0.868812521,-1.074165733,0.000180877
0.583353281,-0.868977540,-1.074312534,0.000033141
0.605879784,-0.869348190,-1.074333075,-0.000472269
0.616656542,-0.869484740,-1.074332424,-0.000743494
0.633436203,-0.869607780,-1.074297449,-0.001047567
0.655553102,-0.869704873,-1.074392237,-0.001259269
0.667291641,-0.869751482,-1.074438255,-0.001312743
0.684412718,-0.869888021,-1.074523680,-0.001307333
0.705584049,-0.869907692,-1.074538461,-0.001350960
0.722217798,-0.869955286,-1.074616123,-0.001295320
0.744733334,-0.869988954,-1.074669412,-0.001348483
0.766685486,-0.870055272,-1.074691870,-0.001372292
0.777927876,-0.870066583,-1.074674048,-0.001504454
0.788911343,-0.870083379,-1.074662370,-0.001567476
0.805747509,-0.870077466,-1.074622839,-0.001561936
0.827881336,-0.869988350,-1.074555793,-0.001525703
0.838900328,-0.869927139,-1.074544639,-0.001459660
0.861149311,-0.869861366,-1.074484264,-0.001215159
0.877777100,-0.869808482,-1.074461860,-0.000952208
0.900023699,-0.869819899,-1.074474680,-0.000552075
0.911414623,-0.869807838,-1.074404796,-0.000425964
0.927779913,-0.869748159,-1.074247135,-0.000283384
0.950129271,-0.869549641,-1.073949732,0.000051036
0.961106062,-0.869374815,-1.073696981,0.000418183
0.977761269,2.437562106,-0.773349690,1.112554852
0.999987364,2.387449524,-0.767316605,1.042347331
1.011108637,2.362439103,-0.764449974,1.005758075
1.026043892,2.325015875,-0.760361730,0.948933184
1.037209749,2.300257813,-0.757753031,0.909806348
1.053657055,2.263114050,-0.753999289,0.849120210
1.076086760,2.214147591,-0.749079371,0.764732694
1.103823662,2.169947507,-0.745812428,0.778568133
1.125890970,2.143411959,-0.744406351,0.849581786
1.137068987,2.130145669,-0.743960492,0.882406693
1.154107571,2.110177298,-0.743467591,0.929817993
1.175890923,2.083274409,-0.742165493,0.988391992
1.192695141,2.064322808,-0.741218681,1.027221224
1.214865923,2.038460922,-0.740688658,1.076385067
1.237006903,2.011990850,-0.740573358,1.119567134
1.253875971,1.991893137,-0.740403244,1.149595121
1.281700850,1.958557647,-0.739572621,1.192295395
1.293554783,1.945356338,-0.739832994,1.206929621
1.311467171,1.925810246,-0.739304691,1.227214031
1.333405495,1.899507326,-0.739579256,1.249009734
1.350047588,1.879540307,-0.739983877,1.262813849
1.372197628,1.853296160,-0.739779840,1.276608938
1.383805990,1.840106919,-0.740125700,1.281293138
1.394831657,1.827297583,-0.740402650,1.285087662
1.411566734,1.808074136,-0.740403613,1.288802068
1.433410645,1.783142897,-0.740830714,1.288659970
1.444782734,1.770883183,-0.740908938,1.287378348
1.455619097,1.758027419,-0.740809359,1.284911729
1.466679573,1.745172369,-0.740807081,1.280824658
1.483388901,1.726107183,-0.741366984,1.272142373
1.494930029,1.713549683,-0.741633754,1.265291683
1.511096478,1.694500505,-0.741750796,1.252714621
1.533594847,1.668977837,-0.742663874,1.231208433
1.544844627,1.656304958,-0.742871232,1.219209542
1.556013346,1.643857138,-0.742923801,1.206095666
1.572287798,1.625133345,-0.743579745,1.183303603
1.594530582,1.600941074,-0.744464304,1.148995432
1.605816126,1.588678590,-0.744829902,1.130131201
1.616657734,1.576480357,-0.745319954,1.109892639
1.633560896,1.558176224,-0.746372843,1.077553255
1.655603886,1.534173039,-0.747205399,1.031561543
1.666640520,1.522161803,-0.747997072,1.006071167
1.677785635,1.510726726,-0.748858543,0.979480971
1.699989796,1.487641595,-0.749974795,0.923797912
1.711117268,1.476265638,-0.750824930,0.893939193
1.727722168,1.459161613,-0.752274249,0.846979939
1.749986410,1.435033846,-0.753910462,0.778878034
1.766652107,1.419702050,-0.755515113,0.726966623
1.788866997,1.395431030,-0.751238911,0.769505060
1.811089993,1.380218328,-0.746774752,0.825110434
1.827755213,1.378605760,-0.744287263,0.857256780
1.850188971,1.377097034,-0.741380796,0.898774287
1.866605520,1.376595866,-0.739372047,0.925584891
1.888970852,1.376056641,-0.735542864,0.958106058
1.899991989,1.375618953,-0.733810340,0.971876676
1.916913509,1.374934511,-0.731322339,0.991178315
1.938904524,1.373451968,-0.727993876,1.012840838
1.949989319,1.373171295,-0.726649569,1.021273027
1.966771364,1.372791502,-0.723969074,1.032351193
1.988867044,1.371828715,-0.720807564,1.042162632
2.000010729,1.371391528,-0.719237639,1.045934815
