t,x,y,z
0.000000000,0.907134173,-0.697185398,1.323026905
0.022186518,0.999560528,-0.707136485,1.330387305
0.055701017,1.137217548,-0.722354813,1.332727718
0.078503370,1.228189014,-0.731974413,1.328397403
0.111001730,1.363102438,-0.746514182,1.313349226
0.133302927,1.452239421,-0.756362609,1.297420794
0.166533709,1.584160332,-0.770743194,1.264839462
0.199847460,1.715871861,-0.784072486,1.221952979
0.222249746,1.802730247,-0.793553979,1.187742254
0.244666576,1.889143353,-0.803328616,1.149611523
0.266897678,1.974909386,-0.812232569,1.106944368
0.300004721,2.102097091,-0.825767522,1.034333209
0.322119474,2.185950423,-0.834930227,0.980429070
0.355998039,2.311828169,-0.849127170,0.892205631
0.377893209,2.395023900,-0.857903028,0.828414443
0.410948753,2.517278904,-0.870530230,0.724157428
0.444736719,2.628218595,-0.882272012,0.725296935
0.488933086,2.765798176,-0.894464283,0.840623820
0.522945881,2.868175762,-0.903491175,0.912323942
0.556132078,2.969291013,-0.911972245,0.972263449
0.588815928,2.920420217,-0.903378968,1.022577833
0.623104334,2.734117582,-0.877440092,1.059673376
0.644457817,2.612199553,-0.860291496,1.077642555
0.677726269,2.432273453,-0.835304517,1.096126254
0.710945845,2.255168611,-0.810813929,1.104082591
0.755865335,2.022503132,-0.779718783,1.097360915
0.777668953,1.907681610,-0.764465759,1.086887383
0.811363697,1.737610873,-0.741961108,1.062203677
0.833557367,1.625640334,-0.727027855,1.039997253
0.866707563,1.459799713,-0.705085038,0.997539482
0.899914265,1.296296825,-0.683725756,0.944913290
0.933765650,1.135066409,-0.662539791,0.882347511
0.966897011,0.976292994,-0.641818951,0.809653577
0.988743782,0.871795483,-0.628294961,0.755667463
1.022664309,0.717042761,-0.608071017,0.666374179
1.044809580,0.623377102,-0.595244546,0.706838841
1.077965260,0.486818342,-0.576681599,0.775272268
1.111187935,0.352171910,-0.558296986,0.831717946
1.155985594,0.175687804,-0.534086455,0.890030289
1.189249516,0.048827488,-0.515343379,0.919766980
1.222021341,0.113086897,-0.533185204,0.950702097
1.256080389,0.283400135,-0.570588619,0.977862304
1.277680635,0.394594390,-0.594599714,0.991428529
1.310954332,0.559205702,-0.631680418,1.000928071
1.344406605,0.721232459,-0.669083664,1.001937332
1.366816998,0.827884084,-0.694466455,0.997846521
1.399778843,0.985258723,-0.731397835,0.982486653
1.433240891,1.140489838,-0.769593560,0.957334764
1.466934204,1.294125869,-0.808058370,0.923061691
1.488584518,1.394840562,-0.833422431,0.895156140
1.510414124,1.494703879,-0.859487131,0.861951760
1.555211544,1.692103335,-0.911719097,0.784696509
1.588793755,1.837221228,-0.951470028,0.716740658
1.620691776,1.975346671,-0.989197396,0.699279117
1.654206276,2.102142524,-1.024092073,0.759343293
1.687770128,2.228679979,-1.059274096,0.807725079
1.710185289,2.311547726,-1.082848102,0.834529382
1.744843960,2.434667819,-1.117824577,0.865567768
1.777647734,2.556043635,-1.153724647,0.885039396
1.797084093,2.636040472,-1.177951024,0.892381627
1.831084251,2.755789551,-1.214193435,0.894280963
1.864877224,2.871072838,-1.251946737,0.886750488
1.898720503,2.758172519,-1.205886122,0.961472226
1.953526497,2.501916732,-1.102172299,1.090172177
1.992878199,2.326927083,-1.030140752,1.160593805
2.025782108,2.179853697,-0.968662764,1.208197493
2.060802460,2.036772906,-0.909011631,1.243869285
2.094622612,1.895473277,-0.847472920,1.268300632
2.116767883,1.802083326,-0.807771503,1.278308459
2.149764776,1.664925518,-0.747108384,1.284230130
2.184600115,1.530504460,-0.687336807,1.279274450
2.216550827,1.397118597,-0.627198077,1.263540044
2.238752365,1.309501585,-0.587325452,1.247115920
2.272002697,1.180654334,-0.528275996,1.213299454
2.305375099,1.053993093,-0.469275544,1.168744129
2.350424767,0.886705580,-0.390838797,1.093919688
2.383325577,0.764763714,-0.332043068,1.025599375
2.405874968,0.684702226,-0.293461455,0.974244990
2.438649893,0.565582239,-0.235755041,0.888915560
2.472898483,0.448367433,-0.178852425,0.794506400
2.494970560,0.371863447,-0.140567250,0.725641038
2.517057657,0.296821075,-0.102989206,0.657117614
2.550201416,0.195587602,-0.051835040,0.745748946
2.584038973,0.098339043,-0.001532406,0.821438446
2.606228113,0.033064557,0.032000098,0.864026208
2.639255285,0.180272945,-0.001751153,0.899777259
2.663056612,0.350080160,-0.045266478,0.916159395
2.702671766,0.583043993,-0.105089635,0.928699622
2.735480547,0.778433361,-0.154515931,0.925619776
2.762793541,0.939389324,-0.197120706,0.915346180
2.783840895,1.034607899,-0.222610335,0.905742073
2.817378283,1.222202298,-0.273486109,0.878863969
2.839510679,1.345364183,-0.308044217,0.855598842
2.862319469,1.466795363,-0.342223466,0.827629205
2.895120144,1.647071910,-0.393984832,0.776649114
2.928081274,1.823952898,-0.446763909,0.715459654
2.950404167,1.939739712,-0.481744004,0.668976972
2.984100580,2.099807834,-0.531085244,0.721116909
3.006309032,2.205428030,-0.563707676,0.753168578
3.028746605,2.309676625,-0.595863694,0.780235799
3.067725420,2.489843034,-0.653166502,0.814877480
3.098906040,2.640153459,-0.702381280,0.832425732
3.121175528,2.739363147,-0.735767044,0.837415810
3.154134274,2.886932866,-0.784603325,0.836774190
3.177428007,2.984651534,-0.818110877,0.829613822
3.199529171,3.080231731,-0.851600846,0.817525572
3.230748653,2.928199633,-0.824056157,0.903439669
3.254077196,2.814559749,-0.803785562,0.959168916
3.275370121,2.703082420,-0.783909193,1.008539113
3.311157703,2.537471503,-0.756077629,1.074307881
3.333877325,2.427722371,-0.737634361,1.111804326
3.366842985,2.266131657,-0.713110216,1.157535202
3.388798237,2.160225770,-0.696992878,1.181382966
3.422920704,2.003684645,-0.675331323,1.208013294
3.445222139,1.898708933,-0.660768818,1.219670133
3.489811420,1.693380249,-0.634550229,1.226686032
3.524393082,1.515945921,-0.613738784,1.217543667
3.561764956,1.365344585,-0.596956964,1.197891947
3.606441498,1.169317269,-0.576287329,1.153703679
3.627861738,1.071957100,-0.566774516,1.125303983
3.644319057,0.998954371,-0.559549496,1.100722631
3.666609764,0.903277644,-0.550930541,1.064240384
3.683775902,0.832191483,-0.544731798,1.033056471
3.701403618,0.738386829,-0.536331504,0.987842096
3.721773386,0.668441101,-0.530413479,0.951473879
3.744442463,0.575180303,-0.522798491,0.898914140
3.760719299,0.506525858,-0.517729204,0.856726435
3.777679920,0.438860770,-0.512626245,0.811869485
3.799667597,0.348815733,-0.506038850,0.747286951
3.822412491,0.259832665,-0.499712350,0.678986565
3.838508129,0.196004924,-0.495937138,0.679946991
3.855429173,0.135254464,-0.492633148,0.722707209
